LGA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA20910,294,76,3,1464,0,9,306,536,628,428,142,24,2070,0,9,101,415,571,373,140,31,1645,18,59,78,84,131,73,34,0,486,1480,2907,5901,5770,6783,4760,1683,243,29537
LGA21010,49,10,4,193,0,0,23,36,59,74,11,0,202,0,4,13,13,22,28,10,3,91,10,7,11,17,24,26,10,3,106,285,369,704,853,1214,1202,363,80,5075
LGA21110,753,175,32,4356,3,14,1251,2300,2045,1218,332,44,7196,8,13,395,1585,1778,1046,353,55,5231,61,140,214,205,260,174,78,23,1149,2826,6865,17246,15188,14838,10417,3491,507,71382
LGA21180,533,76,3,3083,0,22,642,1117,988,573,82,5,3438,3,14,158,422,603,310,59,9,1580,66,147,279,270,278,206,50,13,1315,2940,5979,15904,15387,14790,9580,1758,161,66496
LGA21270,20,8,0,68,0,0,12,14,18,25,3,0,69,0,0,9,10,4,10,7,0,36,0,3,6,3,13,14,3,3,41,116,129,316,385,609,620,202,60,2442
LGA21370,124,26,0,586,0,7,91,169,180,135,15,12,601,3,3,21,58,77,78,21,8,281,25,19,41,52,87,62,18,3,310,1039,1202,2485,2847,3628,3097,807,181,15291
LGA21450,175,25,3,890,0,6,147,243,261,162,37,7,862,0,15,50,104,125,87,43,6,424,50,53,91,89,91,72,30,8,483,1980,2382,4814,4698,4832,3346,906,186,23143
LGA21610,462,64,11,2594,0,23,452,802,761,474,88,6,2608,11,24,145,365,445,265,67,8,1317,110,139,219,223,275,164,45,8,1194,5155,7114,14146,13733,13565,8470,1845,212,64240
LGA21670,25,4,0,106,0,0,13,34,41,22,6,0,112,0,0,3,9,11,18,0,0,41,8,4,12,17,23,16,3,5,82,275,324,618,732,1025,873,224,56,4116
LGA21750,82,12,3,300,0,0,32,75,95,62,16,5,285,0,3,20,32,50,32,11,9,160,16,16,27,36,45,48,13,5,208,610,814,1677,1716,2076,1802,567,136,9389
LGA21830,54,16,4,273,0,0,42,58,94,82,13,4,290,0,0,26,61,75,61,24,5,258,19,19,18,20,51,33,20,10,183,432,505,1028,1276,1707,1477,520,130,7080
LGA21890,463,70,4,2249,0,11,352,791,792,557,92,11,2607,3,9,103,369,428,312,81,11,1313,47,75,172,147,186,127,28,3,790,2085,4796,11363,10372,10261,7066,1527,207,47683
LGA22110,124,31,0,480,0,0,44,108,182,138,25,4,498,3,3,23,48,65,71,24,9,234,20,28,34,33,67,82,48,17,323,902,1097,2443,2775,3677,3495,1065,230,15688
LGA22170,358,52,3,1840,7,13,307,569,567,377,66,4,1915,5,14,98,289,384,236,78,15,1109,70,94,131,157,204,151,43,8,849,2894,4127,8758,8824,9578,6890,1643,198,42912
LGA22250,26,7,0,99,0,6,6,33,42,27,3,3,119,0,0,0,15,31,18,5,0,69,3,6,12,10,26,9,13,4,75,194,257,540,686,955,874,343,79,3937
LGA22310,347,82,14,1814,0,12,386,710,761,447,105,17,2442,5,12,141,438,494,316,127,23,1545,30,87,153,134,130,107,52,11,709,1594,3525,8433,7744,7845,5867,1883,276,37174
LGA22410,109,11,0,420,0,3,42,125,203,115,21,3,521,3,4,6,33,47,70,16,4,188,12,13,21,27,39,37,22,10,174,498,524,1054,1467,1981,1650,473,120,7768
LGA22490,14,3,3,107,0,0,21,28,36,24,10,0,114,0,0,4,16,32,15,14,3,85,5,6,8,8,21,13,7,4,65,152,254,565,702,760,579,264,58,3323
LGA22620,353,53,3,1961,3,19,389,697,763,427,63,5,2365,9,14,92,295,314,230,59,10,1022,58,98,120,97,155,140,47,14,739,2888,4618,9216,9052,9834,7609,1587,241,45051
LGA22670,867,135,10,4594,0,38,811,1737,1854,1032,188,19,5680,3,12,195,737,920,610,150,20,2649,73,182,371,362,443,274,74,14,1795,2704,7766,21421,22482,23378,15456,3182,297,96693
LGA22750,826,119,19,4679,3,16,931,1756,1676,1070,160,12,5626,6,25,232,816,877,571,152,34,2711,137,173,256,322,363,265,77,22,1612,5782,9410,19825,20324,20735,15340,3234,410,95057
LGA22830,249,31,4,1090,0,15,149,353,392,259,52,10,1231,7,8,52,119,196,160,46,14,602,45,48,73,126,106,110,39,24,573,1792,2420,5417,5567,6412,4972,1217,230,28025
LGA22910,31,6,0,129,0,0,19,37,39,37,5,0,144,0,0,4,15,17,16,11,0,66,0,10,13,13,17,25,10,3,92,199,342,649,891,1123,1034,350,68,4651
LGA22980,33,5,0,76,0,0,13,16,18,22,9,0,77,0,0,4,9,13,8,3,4,43,3,3,7,11,10,7,5,0,39,88,161,337,352,509,521,153,50,2174
LGA23110,418,67,4,2097,0,18,462,858,904,632,81,3,2954,0,0,104,348,468,298,45,12,1283,26,55,140,123,159,105,26,3,638,1309,2684,7703,8068,8408,5668,1046,99,34988
LGA23190,89,11,0,329,0,3,36,91,122,75,16,10,354,0,0,13,41,45,51,12,3,169,11,11,32,28,37,36,9,0,169,606,785,1650,1654,1949,1691,434,100,8873
LGA23270,762,87,6,4595,4,57,968,1806,1720,945,138,9,5643,7,24,307,819,986,493,107,17,2758,101,182,352,343,393,269,43,5,1687,3640,8196,21403,20822,20687,12426,2117,208,89491
LGA23350,58,14,0,224,0,5,10,52,74,57,6,3,211,0,0,4,23,23,20,15,3,95,7,5,11,17,19,23,13,9,93,273,275,607,874,1200,1143,374,72,4826
LGA23430,670,114,14,3451,3,26,683,1411,1466,742,154,18,4503,5,11,187,706,831,487,135,19,2383,99,126,199,267,299,217,59,18,1284,3698,6974,15698,15935,16845,11388,2930,367,73832
LGA23670,491,71,4,2927,0,11,620,1215,1269,711,104,15,3949,0,11,144,561,757,410,77,12,1966,66,125,191,191,248,189,66,6,1083,3750,6018,12918,13477,14855,10512,2406,273,64206
LGA23810,403,51,3,1699,0,36,366,580,814,644,70,3,2508,8,13,107,217,452,329,49,4,1177,38,64,81,82,134,123,27,10,553,1780,2810,6133,6105,6941,5516,1133,171,30601
LGA23940,22,6,0,86,0,0,3,19,17,18,3,0,68,0,0,3,6,7,12,0,3,27,0,0,7,3,10,22,10,4,59,109,132,316,463,617,677,253,75,2651
LGA24130,87,17,4,428,0,12,42,112,160,129,37,3,485,0,3,22,70,95,63,29,7,281,31,31,34,43,59,42,28,3,263,947,1160,1969,2437,3029,2219,783,115,12673
LGA24210,245,79,10,1247,0,4,213,466,419,315,78,7,1502,4,0,70,237,331,227,67,11,947,39,81,97,86,115,77,31,14,539,2099,3586,5834,5142,6167,4394,1435,271,28931
LGA24250,35,9,5,120,0,0,23,39,30,27,3,5,128,0,4,3,5,16,8,7,3,49,3,0,5,14,9,8,8,0,58,197,204,425,602,737,743,264,45,3219
LGA24330,303,45,3,1686,3,19,343,666,602,398,64,8,2091,0,13,118,320,358,223,58,10,1093,38,64,126,115,128,89,19,5,578,1746,4197,9156,8250,7629,5154,1039,94,37261
LGA24410,384,60,3,1865,0,8,308,584,642,438,84,6,2073,4,9,72,258,344,221,76,5,991,58,97,153,144,191,122,30,8,801,2890,4584,8322,8319,9435,6774,1745,184,42258
LGA24600,3747,621,76,34950,19,261,16791,25630,16470,8054,1201,95,68522,13,130,5191,19167,17021,7751,1540,167,50991,179,599,1658,1365,1123,701,169,61,5864,6624,37777,140636,116292,80969,43996,9373,1084,436750
LGA24650,140,22,0,980,0,12,230,330,298,142,24,0,1031,4,4,62,140,138,62,14,0,423,50,59,105,110,90,59,15,0,484,1918,2595,5859,5892,4893,2911,577,46,24682
LGA24780,178,22,3,788,0,0,79,201,241,162,26,5,722,5,7,38,97,107,102,25,5,382,38,42,75,82,83,98,38,14,469,1442,1897,4123,4152,4771,3869,948,156,21354
LGA24850,109,19,0,523,0,0,64,115,166,108,28,3,480,0,3,18,36,50,42,12,3,164,27,29,26,45,53,30,22,9,231,889,1058,2007,2065,2387,1878,499,70,10865
LGA24900,107,16,4,441,0,3,57,99,113,60,18,0,352,0,3,18,44,61,54,18,9,209,23,20,35,38,79,71,14,13,297,754,815,1765,2001,2409,2052,605,131,10534
LGA24970,1103,180,19,6723,3,32,1659,3434,3035,1669,272,24,10133,5,14,404,1678,1983,1044,236,30,5392,67,187,341,344,383,239,84,16,1659,3206,8901,25522,24894,23750,15482,3599,439,105786
LGA25060,337,70,11,1816,0,11,387,705,669,355,61,13,2187,0,3,102,393,405,247,51,8,1210,60,65,136,140,125,82,35,11,657,2200,3925,8297,7684,7542,5053,1168,167,36036
LGA25150,57,17,0,291,0,0,39,86,74,47,6,0,263,0,3,13,29,45,33,12,0,136,15,19,26,26,30,13,9,4,128,590,696,1327,1497,1706,1239,380,69,7495
LGA25250,294,50,3,1574,0,7,247,486,500,337,59,7,1654,3,8,90,267,294,193,62,18,940,29,56,152,128,141,110,42,7,659,1343,3737,10034,8538,8162,5474,1338,182,38807
LGA25340,432,84,14,2068,0,4,262,622,689,430,128,14,2152,3,10,107,262,414,254,131,40,1216,91,113,138,190,220,190,83,12,1042,3905,4996,8404,9630,11190,8305,2674,379,49479
LGA25430,55,11,3,213,0,0,30,76,77,49,5,4,240,3,0,6,21,39,34,14,5,117,9,12,24,14,24,31,10,3,122,361,585,1040,1252,1665,1532,378,99,6916
LGA25490,59,22,0,312,0,3,51,90,81,70,23,8,329,3,3,6,27,68,60,17,3,188,15,6,19,12,32,37,20,11,147,275,418,976,1169,1495,1274,445,145,6186
LGA25620,29,14,4,125,0,0,9,29,47,36,16,3,142,3,0,5,11,23,14,18,4,88,5,4,16,10,18,23,7,9,100,222,268,557,746,983,892,350,102,4114
LGA25710,173,26,3,586,0,3,65,170,208,136,43,3,625,0,0,26,101,131,105,35,8,409,23,26,34,45,61,43,21,0,256,1204,1365,2128,2512,2926,2357,739,78,13315
LGA25810,30,9,0,156,0,3,28,42,62,26,9,5,172,0,0,5,15,10,19,6,0,63,8,4,5,12,19,25,6,3,99,285,392,783,802,1101,1008,325,62,4748
LGA25900,583,118,8,4919,3,38,2230,3337,2259,1056,240,30,9187,5,19,699,2505,2320,1111,290,47,7004,44,125,302,232,247,150,52,15,1159,1429,6869,24657,18704,13790,8009,2191,280,75933
LGA25990,21,8,3,67,0,0,9,20,23,14,4,0,62,0,0,0,5,12,5,3,0,32,0,0,6,11,10,3,6,0,32,94,117,251,378,478,468,180,38,2001
LGA26080,14,0,0,63,0,0,0,20,21,16,3,0,71,0,0,3,5,15,8,4,3,48,0,0,0,3,0,8,4,0,12,90,92,141,235,311,299,96,17,1277
LGA26170,102,19,0,443,0,0,56,115,142,112,29,8,465,0,4,24,39,90,50,28,3,228,20,12,33,35,46,59,27,7,248,653,693,1588,1884,2550,2304,811,187,10668
LGA26260,46,20,4,274,0,0,32,76,92,62,12,7,277,0,0,18,22,42,39,20,3,145,12,13,16,16,25,41,17,9,143,419,500,1095,1287,1684,1572,502,110,7164
LGA26350,421,133,21,2745,0,29,872,1307,1067,611,193,53,4131,7,11,280,1022,1116,649,306,75,3465,60,116,219,150,190,112,53,11,904,2300,7541,15764,10594,9656,6477,2246,393,54961
LGA26430,29,12,0,110,0,0,5,28,25,27,13,7,106,0,0,4,13,16,22,16,6,78,5,3,10,12,31,25,18,0,97,182,224,528,537,749,837,356,102,3519
LGA26490,53,11,5,288,0,0,45,109,107,69,18,0,355,0,0,17,63,81,54,29,3,251,21,5,22,22,23,23,12,3,136,634,845,1640,1792,1813,1406,501,67,8688
LGA26610,60,11,0,257,0,0,42,84,89,69,18,3,300,0,3,28,41,47,46,11,7,182,14,17,22,25,36,40,18,9,181,542,815,1672,1613,1949,1706,424,86,8802
LGA26670,17,10,3,65,0,0,8,18,17,19,6,3,67,0,0,3,3,12,18,12,3,50,3,3,7,7,7,10,11,3,43,107,112,246,296,436,509,248,73,2017
LGA26700,120,23,3,461,0,3,43,99,175,119,15,4,465,0,9,27,53,65,65,19,4,244,27,11,26,31,26,46,17,9,192,783,903,1973,2385,2917,2538,659,159,12312
LGA26730,122,11,3,584,0,4,77,190,193,130,18,3,608,3,3,25,76,110,88,22,3,334,34,20,36,41,47,46,14,3,238,1284,1574,2987,3082,3556,2660,515,72,15743
LGA26810,155,24,3,784,3,9,234,281,307,218,31,5,1092,3,13,122,184,229,160,28,6,739,24,29,47,54,75,74,31,6,344,982,1360,3247,3226,3745,3392,926,182,17069
LGA26890,19,10,3,70,0,0,5,16,25,10,7,3,57,0,0,3,6,6,10,7,6,44,0,3,4,3,16,6,5,4,38,63,99,236,263,403,370,175,64,1674
LGA26980,741,121,15,3888,0,10,734,1690,1711,1047,186,15,5402,4,12,164,823,1008,584,144,22,2760,57,123,179,207,262,172,52,14,1066,3144,6137,15949,14731,15420,10692,2784,335,69185
LGA27070,432,74,3,2308,0,17,470,773,744,441,62,6,2512,4,4,136,369,371,240,53,11,1196,78,130,204,197,212,154,37,13,1022,3144,5239,12737,11835,11314,7246,1477,160,53144
LGA27170,190,13,0,950,0,0,129,289,301,148,23,0,900,3,3,26,89,124,64,14,0,326,38,39,67,66,64,53,18,0,344,1242,1917,3958,3959,4093,3010,563,54,18806
LGA27260,461,51,3,2770,3,22,520,983,919,543,89,0,3074,0,16,149,397,477,267,58,8,1369,55,127,241,233,254,141,38,8,1091,3302,5849,15517,14999,13035,7756,1338,114,61904
LGA27350,606,126,15,4925,0,40,2072,2927,1901,995,183,17,8136,6,27,613,1983,1843,861,286,49,5660,34,119,334,265,234,170,60,7,1215,1776,8223,27085,19097,13873,8440,2321,282,81102
LGA27450,325,48,3,1473,3,5,196,427,511,297,61,12,1500,6,11,59,185,248,154,58,13,731,97,79,123,154,219,136,50,11,869,3157,3808,6949,7838,8841,6743,1926,280,39545
LGA27630,35,0,3,80,0,0,11,13,23,26,3,0,79,0,0,0,5,13,10,4,0,33,0,5,8,11,14,13,3,0,57,100,181,374,394,587,645,197,69,2556
LGA29399,10,3,0,49,0,3,4,24,17,12,0,0,55,0,3,5,7,12,8,7,3,34,0,11,7,5,5,8,0,0,40,202,582,538,282,260,228,80,11,2186
LGA29499,635,104,20,4907,3,105,1291,1752,1376,696,126,22,5375,16,32,365,696,731,386,121,16,2357,120,306,559,582,681,477,162,34,2922,4421,12150,27242,25210,26106,18621,4671,612,119032
LGA29799,0,0,0,11,0,0,0,12,12,8,0,0,29,0,0,5,20,20,14,0,0,60,0,0,0,0,0,6,0,0,5,0,3,26,39,57,28,3,0,157
LGA30250,4,0,0,18,0,0,7,5,5,4,3,0,19,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,7,9,26,67,69,63,44,12,0,282
LGA30300,26,0,6,94,0,0,15,21,19,22,7,0,91,0,0,9,13,16,11,11,0,62,3,5,5,5,11,13,5,3,55,110,152,385,406,478,394,144,42,2109
LGA30370,93,18,4,540,0,34,266,346,344,189,38,3,1224,3,5,88,118,137,111,23,7,490,11,8,31,41,57,41,15,5,203,410,608,1644,1743,1846,1357,422,128,8153
LGA30410,13,3,0,61,0,0,20,23,18,8,4,3,76,0,0,4,11,17,15,3,0,49,0,0,8,3,6,17,5,0,38,66,131,255,252,337,278,96,33,1451
LGA30450,6,0,0,20,0,0,0,0,7,4,0,0,16,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,3,13,22,37,28,62,37,13,0,209
LGA30760,7,0,0,27,0,0,9,3,6,4,0,0,22,0,0,0,3,4,4,4,0,16,0,0,9,3,3,8,0,0,24,38,46,166,164,159,179,80,16,855
LGA30900,3,0,0,14,0,0,0,3,3,3,0,0,7,0,0,0,0,4,6,0,0,10,0,0,0,0,0,3,0,0,5,19,32,54,23,43,53,14,0,240
LGA31000,6786,1007,84,46298,13,424,13939,24486,21172,10679,1604,150,72459,33,164,3894,14370,15210,7587,1580,258,43091,558,1004,1959,1959,1936,1232,334,74,9052,32202,74377,176360,166432,150093,92532,20061,2149,714220
LGA31750,8,0,0,23,0,0,3,12,8,12,0,0,43,0,0,0,6,8,8,0,0,24,0,0,0,0,0,0,0,0,7,10,20,55,57,50,72,18,4,283
LGA31820,250,31,8,1113,0,6,183,308,373,253,56,12,1196,3,0,41,133,191,126,35,12,546,49,50,92,86,142,94,40,16,559,2327,2692,5501,6167,7360,5767,1309,221,31342
LGA31900,69,18,4,287,0,3,36,60,78,56,22,0,259,0,0,16,29,45,49,17,3,156,14,16,16,31,43,28,20,5,183,501,626,1159,1406,1698,1475,425,92,7394
LGA31950,3,0,0,6,0,0,0,3,3,3,0,0,14,0,0,0,0,3,3,0,0,8,0,0,0,0,0,3,0,0,3,7,14,29,28,29,34,5,0,148
LGA32080,632,103,12,3284,5,23,617,1041,1251,746,118,13,3818,4,10,166,478,572,384,111,27,1756,89,100,185,227,237,175,62,10,1094,3973,5574,13660,15397,15398,10560,2588,312,67459
LGA32250,8,3,0,44,0,0,9,18,17,14,0,0,58,0,0,3,3,3,5,6,0,19,0,0,3,7,3,0,0,0,15,51,84,164,152,173,187,39,6,860
LGA32260,81,20,3,350,0,5,43,93,141,103,22,7,411,0,0,18,37,46,53,17,3,172,23,19,38,44,58,50,19,8,245,710,962,2035,2014,2636,2381,650,133,11512
LGA32270,173,27,3,1327,4,70,728,835,697,364,39,8,2745,0,12,305,476,381,220,54,5,1453,21,26,61,74,78,64,23,3,357,765,1329,3824,3825,3583,2205,478,90,16101
LGA32310,35,8,3,222,0,4,71,95,77,53,13,0,307,0,0,10,30,31,28,3,0,114,9,6,7,14,23,22,5,3,92,324,358,731,904,955,751,217,44,4273
LGA32330,4,0,0,15,0,0,0,3,3,5,0,0,10,0,0,3,0,0,4,0,0,3,0,0,0,4,0,0,0,0,3,7,21,51,70,72,73,8,3,291
LGA32450,51,11,0,326,0,25,254,257,220,106,12,0,867,0,0,46,90,76,42,11,0,274,3,5,12,14,15,16,5,0,61,85,185,807,716,687,442,95,8,3022
LGA32500,39,0,0,275,0,16,122,107,114,79,3,0,447,0,0,22,46,27,17,3,0,118,3,9,9,16,9,15,7,3,75,96,229,676,636,627,487,103,19,2868
LGA32600,6,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,9,14,20,30,28,3,0,112
LGA32750,3,0,0,8,0,0,3,7,6,7,0,0,22,0,0,0,3,3,0,0,0,10,0,0,3,0,0,0,0,0,7,11,15,40,36,38,29,12,0,184
LGA32770,3,3,0,17,0,0,3,3,3,3,0,0,15,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,10,10,26,79,99,65,38,3,0,332
LGA32810,34,0,0,165,0,0,21,40,54,40,4,0,163,0,0,10,20,34,30,6,3,97,9,5,11,18,33,27,12,3,118,261,389,1103,1108,1318,1037,303,60,5585
LGA33100,6,0,0,7,0,0,0,7,8,3,3,0,22,0,0,3,4,12,0,3,5,24,0,0,0,0,4,3,0,0,8,13,26,69,61,97,69,30,8,379
LGA33200,9,3,0,33,0,0,11,9,17,15,0,0,48,0,0,0,3,8,5,3,0,24,0,0,3,3,10,8,11,0,29,43,69,134,119,179,153,74,27,802
LGA33220,230,31,3,1097,0,12,149,276,329,226,34,4,1028,5,12,57,122,123,106,33,14,477,35,34,58,68,99,104,32,8,428,2041,2180,4732,6126,7153,5599,1141,181,29137
LGA33360,331,31,3,1869,0,68,851,1158,1206,589,50,4,3922,3,29,388,665,660,369,38,5,2165,41,28,64,69,120,58,26,8,412,1647,2274,5637,6132,6335,3807,679,83,26594
LGA33430,1631,344,20,10168,5,110,2203,3996,3681,2026,484,57,12554,16,82,741,2131,2293,1417,462,102,7241,319,425,686,785,796,561,208,41,3817,14679,23559,51107,51530,49907,34108,9568,1065,235525
LGA33610,27,9,0,158,0,0,28,60,58,33,8,3,190,0,0,14,29,34,31,11,5,122,7,3,11,19,14,26,19,0,100,263,377,913,910,1069,887,272,79,4761
LGA33620,130,15,7,559,0,19,52,162,189,111,23,0,553,0,3,24,57,94,57,18,3,249,28,32,47,54,78,51,25,10,326,1058,1143,2457,3058,3930,3094,798,155,15698
LGA33800,52,8,0,167,0,0,19,33,37,35,10,7,141,0,0,10,25,24,19,14,3,93,3,4,10,16,20,24,17,13,106,292,278,595,735,1069,920,323,105,4307
LGA33830,3,0,0,22,0,0,10,4,8,4,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,11,12,22,75,73,83,44,4,0,317
LGA33960,493,73,3,3133,3,28,588,1121,1102,585,79,11,3505,12,10,137,410,461,265,75,8,1375,95,101,199,177,184,127,36,10,929,4439,6213,14044,13802,13415,8535,1683,186,62312
LGA33980,279,24,0,2158,7,155,1642,1745,1343,623,44,3,5564,0,31,705,945,816,392,39,7,2941,17,20,82,114,84,62,14,3,402,547,1183,5237,5355,4771,2531,353,57,20036
LGA34420,3,0,0,9,0,0,0,4,3,4,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,29,53,59,59,44,3,0,260
LGA34530,57,14,0,340,0,3,54,84,112,83,23,0,356,0,0,16,49,64,47,19,10,205,17,12,17,25,33,34,14,7,156,726,780,1549,1727,2059,1576,392,79,8883
LGA34570,3,0,0,5,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,9,8,12,10,3,9,0,0,36,21,12,42,42,37,32,7,3,199
LGA34580,67,11,0,348,0,6,59,118,133,68,25,0,404,3,3,17,44,40,38,8,3,164,16,19,31,39,46,43,15,3,212,814,1098,2214,2104,2472,1839,570,102,11199
LGA34590,596,105,8,3603,0,39,730,1342,1382,709,93,9,4300,3,10,219,571,600,400,118,9,1933,128,161,279,305,291,221,72,12,1467,6445,9207,19581,19572,18571,12641,2834,240,89093
LGA34710,19,3,0,87,0,3,25,28,41,22,6,0,115,0,0,6,13,11,12,0,0,46,5,6,6,5,8,11,3,0,41,141,174,322,327,429,400,96,28,1916
LGA34770,466,59,3,2481,3,64,846,1085,1042,631,62,15,3740,4,13,162,421,461,314,59,16,1454,68,90,163,153,243,162,59,18,963,3077,4098,9407,9515,10451,7395,1514,248,45703
LGA34800,15,3,0,116,0,4,96,103,70,43,4,0,323,0,0,36,52,50,19,3,0,167,0,4,0,5,6,5,3,0,23,27,74,303,316,275,174,50,6,1219
LGA34830,3,0,0,8,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,16,19,17,5,0,84
LGA34860,70,9,3,419,0,15,210,188,184,112,23,10,742,0,0,64,81,108,57,25,3,337,10,9,23,20,50,29,25,11,175,339,551,1592,1418,1543,1102,370,129,7045
LGA34880,51,16,3,228,0,0,46,74,86,63,3,3,280,3,3,19,28,27,35,10,3,126,11,6,24,27,38,28,12,3,150,414,522,1170,1453,1830,1454,431,97,7374
LGA35010,715,115,3,4210,3,32,861,1542,1578,817,171,21,5028,11,18,248,711,811,460,141,23,2414,205,166,307,342,365,245,73,23,1733,9843,11389,22170,24172,24837,16313,3872,392,112981
LGA35250,3,0,0,13,0,0,9,6,9,3,0,0,29,0,0,0,0,0,0,0,0,5,3,0,4,4,6,4,0,0,17,23,34,89,77,68,45,12,3,347
LGA35300,105,16,3,802,0,81,653,511,434,213,33,0,1918,0,3,118,169,149,68,13,0,530,18,19,34,36,51,36,3,3,195,482,917,2522,1987,1911,1112,256,26,9214
LGA35600,24,3,0,87,0,0,18,24,28,24,7,0,102,0,5,6,11,17,16,9,0,65,3,3,7,3,5,10,5,3,45,105,170,382,379,434,402,99,23,1983
LGA35670,3,0,0,19,0,0,3,3,5,0,0,0,19,0,0,3,3,0,0,0,0,9,0,0,3,4,0,0,0,0,3,0,20,43,64,56,29,7,0,221
LGA35740,157,25,3,643,0,4,73,194,261,160,64,7,765,0,3,30,137,179,110,59,3,523,26,28,33,77,75,53,22,0,315,1528,1412,2907,4200,5065,3855,1047,117,20130
LGA35760,22,5,0,144,0,4,38,46,42,25,13,4,172,0,0,7,20,23,19,8,5,89,6,4,9,27,23,32,19,12,122,230,303,745,769,994,863,374,104,4378
LGA35780,4,3,0,27,0,0,5,4,16,8,3,0,37,0,0,3,0,3,0,0,0,5,3,0,7,6,3,4,0,0,19,55,90,207,172,165,121,14,0,825
LGA35790,10,0,0,25,0,0,3,10,13,7,0,0,34,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,5,27,43,116,123,155,109,13,0,585
LGA35800,11,0,0,30,0,0,6,3,8,7,0,0,23,0,0,0,3,3,5,8,0,18,0,0,3,4,9,12,3,0,25,22,53,127,117,160,183,67,16,732
LGA36070,6,0,0,11,0,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,22,42,53,50,24,3,0,216
LGA36150,3,0,0,18,0,0,3,3,14,9,0,0,30,0,0,0,0,4,4,3,0,9,0,0,4,0,3,0,0,0,11,20,37,100,72,120,89,28,5,473
LGA36250,351,65,4,1674,4,7,302,533,608,343,66,9,1869,9,7,79,231,341,237,65,9,973,77,64,99,137,152,104,24,6,670,3868,3885,7357,7930,8962,6774,1622,173,40572
LGA36300,3,7,0,30,0,0,9,10,9,7,0,0,26,0,0,0,0,3,3,0,0,7,3,4,5,0,3,0,0,0,14,60,82,177,145,133,96,26,5,732
LGA36370,397,54,4,1918,3,26,499,708,791,488,52,8,2570,0,12,82,220,328,235,54,18,945,47,45,98,77,108,89,43,13,517,2682,3698,7716,7356,7973,5836,1140,181,36580
LGA36510,95,24,0,437,0,0,68,146,141,82,31,7,469,0,0,8,57,65,52,20,3,218,19,10,37,49,65,53,29,6,263,924,955,1853,2421,2886,2324,821,179,12367
LGA36580,41,10,0,198,0,0,36,57,66,35,4,0,208,0,0,8,32,39,28,8,0,123,7,11,17,25,24,28,14,7,124,373,465,1078,1174,1387,1158,373,76,6099
LGA36630,74,9,0,358,0,11,89,159,207,111,19,3,594,3,0,35,58,62,47,13,3,230,26,16,27,35,56,41,24,14,240,767,891,1797,2130,2565,2078,670,167,11060
LGA36660,65,13,3,365,0,3,46,95,112,78,21,8,367,0,7,24,37,62,48,18,3,202,19,21,36,37,52,54,37,10,273,1000,1059,2021,2487,3084,2626,844,190,13305
LGA36720,851,143,14,4576,0,36,784,1612,1839,993,201,28,5487,6,13,243,908,995,651,187,28,3033,144,174,293,312,421,298,79,35,1746,7851,9546,19672,23745,26394,18677,4452,515,110852
LGA36820,79,14,4,292,0,0,37,68,79,57,14,0,269,0,0,16,29,45,43,11,3,151,15,11,16,25,50,39,31,12,198,615,573,1296,1522,2008,1839,597,120,8571
LGA36910,675,112,14,3525,3,60,762,1114,1369,824,127,18,4275,5,17,203,502,566,400,131,19,1842,93,96,146,175,233,165,84,19,1015,4749,6728,13970,13838,15155,11399,3025,482,69344
LGA36950,13,3,0,97,0,0,31,44,45,37,5,0,161,0,0,9,14,12,13,0,0,49,6,11,13,17,12,16,3,0,74,57,131,386,340,297,243,51,10,1503
